system:index,elevation,et,ndvi,precip,soil_texture,temp,.geo
2,1940.0,18.467391967773438,0.41882115602493286,4.391351222991943,1.0,17.34872055053711,"{""type"":""Point"",""coordinates"":[34.95779383743935,1.2266811449644592]}"
3,1951.0,21.919565200805664,0.402062326669693,4.181388854980469,1.0,16.787569046020508,"{""type"":""Point"",""coordinates"":[35.06300469885789,1.1566962121369975]}"
4,1908.0,25.145652770996094,0.6110852360725403,4.685038089752197,1.0,18.093822479248047,"{""type"":""Point"",""coordinates"":[34.81105918290183,0.8685374862770088]}"
7,1897.0,21.71521759033203,0.3922167420387268,4.239716053009033,1.0,18.029624938964844,"{""type"":""Point"",""coordinates"":[35.22581179611356,0.9663238214559223]}"
8,1893.0,20.778261184692383,0.40091219544410706,4.331905364990234,1.0,17.701335906982422,"{""type"":""Point"",""coordinates"":[34.964317773495296,1.1480435891245058]}"
9,1845.0,21.684782028198242,0.5144548416137695,4.867131233215332,1.0,17.297080993652344,"{""type"":""Point"",""coordinates"":[34.9827536739047,0.9832201566696765]}"
11,1892.0,23.047826766967773,0.4368976652622223,4.22905158996582,1.0,17.38762855529785,"{""type"":""Point"",""coordinates"":[35.1430793731741,1.0030982882970978]}"
12,1903.0,21.919565200805664,0.520606517791748,4.0664591789245605,1.0,17.277507781982422,"{""type"":""Point"",""coordinates"":[35.09426908863703,1.0515090713827622]}"
14,1967.0,20.447826385498047,0.48976850509643555,3.9460690021514893,1.0,17.34872055053711,"{""type"":""Point"",""coordinates"":[35.00833547341282,1.2169648432100222]}"
15,1939.0,22.09782600402832,0.47577062249183655,3.709697961807251,1.0,17.701335906982422,"{""type"":""Point"",""coordinates"":[35.04565754839172,1.141762978061726]}"
17,1886.0,24.62826156616211,0.5366502404212952,4.297929763793945,1.0,18.148908615112305,"{""type"":""Point"",""coordinates"":[35.227409388864764,0.9330062364867648]}"
20,1901.0,22.306522369384766,0.4964138865470886,4.147160053253174,1.0,17.297080993652344,"{""type"":""Point"",""coordinates"":[35.04549427133336,0.9744546329655892]}"
21,1726.0,23.69130516052246,0.4738461971282959,4.619603633880615,1.0,18.955806732177734,"{""type"":""Point"",""coordinates"":[34.825862693678516,0.84694449973597]}"
23,2138.0,23.417390823364258,0.4738124907016754,4.086887836456299,1.0,18.65027618408203,"{""type"":""Point"",""coordinates"":[34.79617823623213,1.0589473279765624]}"
25,1857.0,21.819564819335938,0.4885278344154358,4.486835479736328,1.0,17.701335906982422,"{""type"":""Point"",""coordinates"":[34.96808761288358,1.0620915360887198]}"
26,1883.0,19.799999237060547,0.35433244705200195,3.8421618938446045,1.0,19.337970733642578,"{""type"":""Point"",""coordinates"":[34.862748904456616,1.2055156463806262]}"
30,1838.0,22.854347229003906,0.48928695917129517,4.331905364990234,1.0,17.701335906982422,"{""type"":""Point"",""coordinates"":[34.97628160733221,1.1051025580220062]}"
32,1853.0,22.984783172607422,0.4772941768169403,4.331905364990234,1.0,17.701335906982422,"{""type"":""Point"",""coordinates"":[34.980812028911316,1.1312754265537375]}"
36,1948.0,20.80434799194336,0.41993018984794617,4.391351222991943,1.0,17.34872055053711,"{""type"":""Point"",""coordinates"":[34.964300215937605,1.2106987691236148]}"
39,1905.0,22.6369571685791,0.5217882990837097,4.276590347290039,1.0,17.277507781982422,"{""type"":""Point"",""coordinates"":[35.14777245210276,1.0902475527742974]}"
42,1918.0,19.947826385498047,0.38872453570365906,3.7341408729553223,1.0,19.428382873535156,"{""type"":""Point"",""coordinates"":[34.82301697473167,1.1958447478235832]}"
45,1967.0,20.302173614501953,0.4042605459690094,4.391351222991943,1.0,17.34872055053711,"{""type"":""Point"",""coordinates"":[34.99338359214687,1.2099368028658963]}"
46,1885.0,24.69565200805664,0.4895133972167969,4.438160419464111,1.0,17.277507781982422,"{""type"":""Point"",""coordinates"":[35.14811015997991,1.1167590254558002]}"
47,1945.0,25.017391204833984,0.5768266320228577,4.685038089752197,1.0,18.093822479248047,"{""type"":""Point"",""coordinates"":[34.824099316456476,0.878365682849815]}"
52,1959.0,21.056522369384766,0.3857191503047943,4.356894016265869,1.0,17.34872055053711,"{""type"":""Point"",""coordinates"":[34.99082290723283,1.188622421944695]}"
56,2129.0,22.0108699798584,0.44773030281066895,3.9968953132629395,1.0,18.65027618408203,"{""type"":""Point"",""coordinates"":[34.795625759319975,1.1390701913148367]}"
59,1834.0,20.8630428314209,0.42405545711517334,4.168355941772461,1.0,18.986263275146484,"{""type"":""Point"",""coordinates"":[34.92968349743482,1.073360325815156]}"
62,1930.0,21.69565200805664,0.5284566283226013,4.22905158996582,1.0,17.38762855529785,"{""type"":""Point"",""coordinates"":[35.12582600473596,1.0314706040299186]}"
63,1689.0,24.586956024169922,0.655645489692688,4.619603633880615,1.0,18.955806732177734,"{""type"":""Point"",""coordinates"":[34.804343296114254,0.8454242323677121]}"
65,1834.0,21.736955642700195,0.3868497312068939,4.010318756103516,1.0,18.986263275146484,"{""type"":""Point"",""coordinates"":[34.9095084539179,1.1340067327859347]}"
69,1867.0,21.160869598388672,0.4969736933708191,4.158895015716553,1.0,17.468563079833984,"{""type"":""Point"",""coordinates"":[35.08337053513276,0.9375476426316367]}"
76,1867.0,23.15652084350586,0.46654456853866577,4.0664591789245605,1.0,17.277507781982422,"{""type"":""Point"",""coordinates"":[35.083727737314845,1.0589021826565073]}"
77,1855.0,24.267391204833984,0.5554722547531128,4.297929763793945,1.0,18.148908615112305,"{""type"":""Point"",""coordinates"":[35.233681706714194,0.9298577524930385]}"
79,1752.0,24.565217971801758,0.454069048166275,4.533630847930908,1.0,18.765838623046875,"{""type"":""Point"",""coordinates"":[34.911637475044266,0.9475280556489108]}"
82,1901.0,20.395652770996094,0.38956329226493835,3.8378493785858154,1.0,19.337970733642578,"{""type"":""Point"",""coordinates"":[34.85002415516076,1.1706923696149987]}"
83,1886.0,22.245651245117188,0.45570483803749084,4.356894016265869,1.0,17.34872055053711,"{""type"":""Point"",""coordinates"":[34.96820518672033,1.1531226889619455]}"
94,1987.0,20.095651626586914,0.45135343074798584,3.872589111328125,1.0,19.428382873535156,"{""type"":""Point"",""coordinates"":[34.79131490714665,1.201603643240359]}"
97,1877.0,20.297826766967773,0.3193332850933075,3.8421618938446045,1.0,19.337970733642578,"{""type"":""Point"",""coordinates"":[34.859601474893715,1.2057848169034444]}"
98,1850.0,22.32391357421875,0.40573734045028687,4.331905364990234,4.0,17.701335906982422,"{""type"":""Point"",""coordinates"":[34.9559174004514,1.129210017866449]}"
99,1978.0,22.197826385498047,0.3654676377773285,3.5522680282592773,1.0,18.65027618408203,"{""type"":""Point"",""coordinates"":[34.812606935948956,1.0899714931568074]}"
102,1928.0,20.369565963745117,0.4110868573188782,4.391351222991943,1.0,17.34872055053711,"{""type"":""Point"",""coordinates"":[34.99458442873118,1.2173490343656064]}"
